Status,Layer Name,Old Hosting Location,New Hosting Location,DUA Required,GII Access Required,Deprecation Justification,Agency,External Landing Page,Open REST Service,Old Secure ID,New ID,Open ID
Migrated,Fire and Emergency Medical Service (EMS) Stations,https://geoplatform.maps.arcgis.com/home/item.html?id=b0aaa5d6f376467884cab24f7139a2bf,GII Portal,No,Yes,N/A,U.S. Geological Survey ,https://www.arcgis.com/apps/mapviewer/index.html?url=https://carto.nationalmap.gov/arcgis/rest/services/structures/MapServer,https://carto.nationalmap.gov/arcgis/rest/services/structures/MapServer/51,Please see GII,Please see GII,b0aaa5d6f376467884cab24f7139a2bf
Migrated,Land Mobile Private Transmission Towers,https://geoplatform.maps.arcgis.com/home/item.html?id=70287337e8d8448797ee3cd243a5c117,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/_Land_Mobile_Private_Transmission_Towers/FeatureServer,Please see GII,Please see GII,70287337e8d8448797ee3cd243a5c117
Migrated,Above Ground LNG Storage Facilities,https://geoplatform.maps.arcgis.com/home/item.html?id=e97f9385ce22445a8741ecedad1ac777,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Above_Ground_LNG_Storage_Facilities_gdb/FeatureServer,Please see GII,Please see GII,e97f9385ce22445a8741ecedad1ac777
Migrated,Antenna Structure Registration (ASR),https://geoplatform.maps.arcgis.com/home/item.html?id=887d7630920448afabfa5dbd62470b87,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/asr/FeatureServer,Please see GII,Please see GII,887d7630920448afabfa5dbd62470b87
Migrated,Broadband Radio Service (BRS) and Educational Broadband Service (EBS) Transmitters,https://geoplatform.maps.arcgis.com/home/item.html?id=a302e129f8304f26999ada1fa8810d10,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/brs_ebs/FeatureServer,Please see GII,Please see GII,a302e129f8304f26999ada1fa8810d10
Migrated,Canada and US Border,https://geoplatform.maps.arcgis.com/home/item.html?id=1a0f383efb1740b89eea5f0d33404997,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,International Boundary Commission,,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Canada_and_US_Border/FeatureServer,Please see GII,Please see GII,1a0f383efb1740b89eea5f0d33404997
Migrated,Cellular Towers,https://geoplatform.maps.arcgis.com/home/item.html?id=25ee0275484a4281ae00fb41cd05ab1e,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Cellular_Towers_New/FeatureServer,Please see GII,Please see GII,25ee0275484a4281ae00fb41cd05ab1e
Migrated,Child Care Centers,https://geoplatform.maps.arcgis.com/home/item.html?id=004fac3baff540bc9263341f3e06a51e,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/ChildCareCenter1/FeatureServer,Please see GII,Please see GII,004fac3baff540bc9263341f3e06a51e
Migrated,Colleges and Universities,https://geoplatform.maps.arcgis.com/home/item.html?id=0d7bedf9d582472e9ff7a6874589b545,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Colleges_and_Universities/FeatureServer,Please see GII,Please see GII,0d7bedf9d582472e9ff7a6874589b545
Migrated,Colleges and Universities Campuses,https://geoplatform.maps.arcgis.com/home/item.html?id=bc7ef39f9d2a4605b9d5aad0e050af11,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Colleges_and_Universities_Campuses/FeatureServer,Please see GII,Please see GII,bc7ef39f9d2a4605b9d5aad0e050af11
Migrated,Control Areas,https://geoplatform.maps.arcgis.com/home/item.html?id=db7622e5ebdd40428fcafbd1615d621a,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Control_Areas_gdb/FeatureServer,Please see GII,Please see GII,db7622e5ebdd40428fcafbd1615d621a
Migrated,Electric Holding Company Areas,https://geoplatform.maps.arcgis.com/home/item.html?id=42e8e0c7a3194ab0a42604e5a2cb63ef,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Electric_Holding_Company_Areas/FeatureServer,Please see GII,Please see GII,42e8e0c7a3194ab0a42604e5a2cb63ef
Migrated,Electric Planning Areas,https://geoplatform.maps.arcgis.com/home/item.html?id=7d35521e3b2c48ab8048330e14a4d2d1,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Electric_Planning_Areas/FeatureServer,Please see GII,Please see GII,7d35521e3b2c48ab8048330e14a4d2d1
Migrated,FERC Regions,https://geoplatform.maps.arcgis.com/home/item.html?id=c9cdba84fe9c4362be630dc9549f2680,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/FERC_Regions_gdb/FeatureServer,Please see GII,Please see GII,c9cdba84fe9c4362be630dc9549f2680
Migrated,"Military Installations, Ranges, and Training Areas (MIRTA) DoD Sites - Boundaries",https://geoplatform.maps.arcgis.com/home/item.html?id=793047ab311c45f891865223d3bd6107,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,DOD Components,,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/FY22_MIRTA_Boundaries_gdb/FeatureServer,Please see GII,Please see GII,793047ab311c45f891865223d3bd6107
Migrated,"Military Installations, Ranges, and Training Areas (MIRTA) DoD Sites - Points",https://geoplatform.maps.arcgis.com/home/item.html?id=de61396f603346b8a18784eee07fd767,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,DOD Components,,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/FY22_MIRTA_Points_gdb/FeatureServer,Please see GII,Please see GII,de61396f603346b8a18784eee07fd767
Migrated,Hospitals,https://geoplatform.maps.arcgis.com/home/item.html?id=9e318142490c4884bf74932af437c6c2,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_gdb/FeatureServer,Please see GII,Please see GII,9e318142490c4884bf74932af437c6c2
Migrated,Independent Systems Operators,https://geoplatform.maps.arcgis.com/home/item.html?id=50f80920d36e435d9a34db2bd0fd3ad8,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Independent_System_Operator/FeatureServer,Please see GII,Please see GII,50f80920d36e435d9a34db2bd0fd3ad8
Migrated,Land Mobile Broadcast Towers,https://geoplatform.maps.arcgis.com/home/item.html?id=cca991aa70894b8c84deef312ab2124b,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Land_Mobile_Broadcast_Towers/FeatureServer,Please see GII,Please see GII,cca991aa70894b8c84deef312ab2124b
Migrated,Land Mobile Commercial Transmission Towers,https://geoplatform.maps.arcgis.com/home/item.html?id=76ebce3edeec4eb7ba0f19025263e925,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Land_Mobile_Commercial_Towers/FeatureServer,Please see GII,Please see GII,76ebce3edeec4eb7ba0f19025263e925
Migrated,Local Emergency Operations Center (EOC),https://geoplatform.maps.arcgis.com/home/item.html?id=874798faedc74358bac9bbe1867af3c7,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,FBI Geospatial Program,,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Local_Emergency_Operations_Centers_EOC/FeatureServer,Please see GII,Please see GII,874798faedc74358bac9bbe1867af3c7
Migrated,Local Law Enforcement Locations,https://geoplatform.maps.arcgis.com/home/item.html?id=0d79b978d71b4654bddb6ca0f4b7f830,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Local_Law_Enforcement_Locations/FeatureServer,Please see GII,Please see GII,0d79b978d71b4654bddb6ca0f4b7f830
Migrated,Microwave Service Towers,https://geoplatform.maps.arcgis.com/home/item.html?id=e4ada760e7de4c0682463b125c3bb7a9,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Microwave_Service_Towers_New/FeatureServer,Please see GII,Please see GII,e4ada760e7de4c0682463b125c3bb7a9
Migrated,Mobile Home Parks,https://geoplatform.maps.arcgis.com/home/item.html?id=4cdbccc5c538452aa91ceee277c460f9,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Mobile_Home_Parks/FeatureServer,Please see GII,Please see GII,4cdbccc5c538452aa91ceee277c460f9
Migrated,Natural Gas Service Territories,https://geoplatform.maps.arcgis.com/home/item.html?id=dfbff0ff802d4a64b13af1f81fac54cf,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Natural_Gas_Service_Territories/FeatureServer,Please see GII,Please see GII,dfbff0ff802d4a64b13af1f81fac54cf
Migrated,NERC Regions,https://geoplatform.maps.arcgis.com/home/item.html?id=6b2af23c67f04f4cb01d88c61aaf558a,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/NERC_Regions/FeatureServer,Please see GII,Please see GII,6b2af23c67f04f4cb01d88c61aaf558a
Migrated,NERC Reliability Coordinators,https://geoplatform.maps.arcgis.com/home/item.html?id=ee47fbb73fc04d609510f340e1c1952c,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/NERC_Reliability_Coordinators/FeatureServer,Please see GII,Please see GII,ee47fbb73fc04d609510f340e1c1952c
Migrated,Nursing Homes,https://geoplatform.maps.arcgis.com/home/item.html?id=426ab97fbcec4f4d872340b4d8630170,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/NursingHomes2024/FeatureServer,Please see GII,Please see GII,426ab97fbcec4f4d872340b4d8630170
Migrated,Oil and Natural Gas Platforms,https://geoplatform.maps.arcgis.com/home/item.html?id=d6403a49d5cd428ebe67a1fa7fd69a40,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Oil_and_Natural_Gas_Platforms/FeatureServer,Please see GII,Please see GII,d6403a49d5cd428ebe67a1fa7fd69a40
Migrated,Paging Transmission Towers,https://geoplatform.maps.arcgis.com/home/item.html?id=2a092cc7a617423394be52ee69418a1f,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Federal Communications Commission (FCC),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Paging_Transmission_Towers/FeatureServer,Please see GII,Please see GII,2a092cc7a617423394be52ee69418a1f
Migrated,Peak Shaving Facilities,https://geoplatform.maps.arcgis.com/home/item.html?id=05beb7d30a6d4e44a44feb976ab5fb0c,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Peak_Shaving_Facilities_gdb/FeatureServer,Please see GII,Please see GII,05beb7d30a6d4e44a44feb976ab5fb0c
Migrated,POL Terminals,https://geoplatform.maps.arcgis.com/home/item.html?id=49daa72be7b84767bbb5e5c6f51ab1e8,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/POL_Terminals/FeatureServer,Please see GII,Please see GII,49daa72be7b84767bbb5e5c6f51ab1e8
Migrated,Power Plants,https://geoplatform.maps.arcgis.com/home/item.html?id=3933681a814141a682facf68e85d7e27,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Department of Energy (DOE),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Power_Plants_gdb/FeatureServer,Please see GII,Please see GII,3933681a814141a682facf68e85d7e27
Migrated,Prison Boundaries,https://geoplatform.maps.arcgis.com/home/item.html?id=985a1fa88cac4eef94ad242a7d181a05,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Prison_Boundarys/FeatureServer,Please see GII,Please see GII,985a1fa88cac4eef94ad242a7d181a05
Migrated,Private Schools,https://geoplatform.maps.arcgis.com/home/item.html?id=0dfe37d2a68545a699b999804354dacf,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Private_Schools/FeatureServer,Please see GII,Please see GII,0dfe37d2a68545a699b999804354dacf
Migrated,Public Schools,https://geoplatform.maps.arcgis.com/home/item.html?id=87376bdb0cb3490cbda39935626f6604,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Oak Ridge National Laboratory (ORNL),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Public_Schools/FeatureServer,Please see GII,Please see GII,87376bdb0cb3490cbda39935626f6604
Migrated,Regulated Navigational Areas,https://geoplatform.maps.arcgis.com/home/item.html?id=bb72b5f6075741159fe02d91f80b98e4,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Regulated_Navigational_Areas/FeatureServer,Please see GII,Please see GII,bb72b5f6075741159fe02d91f80b98e4
Migrated,Electric Retail Service Territories,https://geoplatform.maps.arcgis.com/home/item.html?id=4ee07fd24c0b47578c5b11017a7eb3ac,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Department of Energy (DOE),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Retail_Service_Territories_gdb/FeatureServer,Please see GII,Please see GII,4ee07fd24c0b47578c5b11017a7eb3ac
Migrated,Safety Zones,https://geoplatform.maps.arcgis.com/home/item.html?id=5ca3e6aaf2a947afb04c2dcbd691f4f4,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Safety_Zones/FeatureServer,Please see GII,Please see GII,5ca3e6aaf2a947afb04c2dcbd691f4f4
Migrated,Security Zones,https://geoplatform.maps.arcgis.com/home/item.html?id=1eebcd9ad76345cf88383a2132279c1a,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Security_Zones/FeatureServer,Please see GII,Please see GII,1eebcd9ad76345cf88383a2132279c1a
Migrated,Transmission Lines,https://geoplatform.maps.arcgis.com/home/item.html?id=3486fb60feb2454c99232248fdf624ec,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Department of Energy (DOE),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Transmission_Lines_gdb/FeatureServer,Please see GII,Please see GII,3486fb60feb2454c99232248fdf624ec
Migrated,US Coast Guard (USCG) Captain of the Port Zones,https://geoplatform.maps.arcgis.com/home/item.html?id=729d008770244f96b12fa5f6f339e62e,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/US_Coast_Guard_USCG_Captain_of_the_Port_Zones/FeatureServer,Please see GII,Please see GII,729d008770244f96b12fa5f6f339e62e
Migrated,US Coast Guard (USCG) Maritime Differential GPS (DGPS) Locations,https://geoplatform.maps.arcgis.com/home/item.html?id=9d8d139093a04877a65dd474d442c2e7,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/US_Coast_Guard_USCG_Maritime_Differential_GPS_DGPS_Locations/FeatureServer,Please see GII,Please see GII,9d8d139093a04877a65dd474d442c2e7
Migrated,USCG Districts,https://geoplatform.maps.arcgis.com/home/item.html?id=657c4f2d32214ae29e1f709d2917e099,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/USCG_Districts_/FeatureServer,Please see GII,Please see GII,657c4f2d32214ae29e1f709d2917e099
Migrated,USCG Sectors,https://geoplatform.maps.arcgis.com/home/item.html?id=0b10e10d139f40bf9014a0627f4fbc81,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,U.S. Coast Guard (USCG),,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/USCG_Sectors_/FeatureServer,Please see GII,Please see GII,0b10e10d139f40bf9014a0627f4fbc81
Migrated,Veterans Health Administration Medical Facilities,https://geoplatform.maps.arcgis.com/home/item.html?id=f11d7d153bfb408f85bd029b2dac9298,GII Portal,No,Yes,Migrated to GII due to the deprecation of HILFD Open,Veterans Health Administration,,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Veterans_Health_Administration_Medical_Facilities/FeatureServer,Please see GII,Please see GII,f11d7d153bfb408f85bd029b2dac9298
Migrated,Hydrocarbon Gas Liquid Pipelines,https://geoplatform.maps.arcgis.com/home/item.html?id=fad7e689a60c479b9df688bb2b9efa7b,GII Portal,No,Yes,N/A,US Energy Atlas,https://atlas.eia.gov/datasets/eia::hydrocarbon-gas-liquids-hgl-pipelines/about,https://services7.arcgis.com/FGr1D95XCGALKXqM/arcgis/rest/services/HGL_Pipelines_US_EIA/FeatureServer/0,Please see GII,Please see GII,fad7e689a60c479b9df688bb2b9efa7b
Migrated,Natural Gas Interstate and Intrastate Pipelines,https://geoplatform.maps.arcgis.com/home/item.html?id=3039af74880b4e8ea616b8fcdc2cc52d,GII Portal,No,Yes,N/A,US Energy Atlas,https://atlas.eia.gov/datasets/eia::natural-gas-interstate-and-intrastate-pipelines/about,https://services7.arcgis.com/FGr1D95XCGALKXqM/arcgis/rest/services/NaturalGas_InterIntrastate_Pipelines_US_EIA/FeatureServer/0,Please see GII,Please see GII,3039af74880b4e8ea616b8fcdc2cc52d
Migrated,Petroleum Refineries,https://geoplatform.maps.arcgis.com/home/item.html?id=07a03b6c27c54f24a89e3e364c6b4a92,GII Portal,No,Yes,N/A,US Energy Atlas,https://atlas.eia.gov/datasets/eia::petroleum-refineries-1/about,https://services7.arcgis.com/FGr1D95XCGALKXqM/arcgis/rest/services/Petroleum_Refineries_US_EIA/FeatureServer/22,Please see GII,Please see GII,07a03b6c27c54f24a89e3e364c6b4a92
Migrated,Natural Gas Wells,https://geoplatform.maps.arcgis.com/home/item.html?id=4b5c0bbdf7fa445d85533f0579153169,GII Portal,No,Yes,N/A,US Energy Atlas,https://atlas.eia.gov/maps/eia::natural-gas-wells/about,https://tiles.arcgis.com/tiles/FGr1D95XCGALKXqM/arcgis/rest/services/GasWells/VectorTileServer,Please see GII,Please see GII,4b5c0bbdf7fa445d85533f0579153169
Migrated,Oil Wells,https://geoplatform.maps.arcgis.com/home/item.html?id=d330850eb9474350bc7564f8938bf118,GII Portal,No,Yes,N/A,US Energy Atlas,https://atlas.eia.gov/maps/eia::oil-wells-1/about,https://tiles.arcgis.com/tiles/FGr1D95XCGALKXqM/arcgis/rest/services/OilWells/VectorTileServer,Please see GII,Please see GII,d330850eb9474350bc7564f8938bf118
Deprecate,3D Hydrography Program (3DHP) Layers,https://geoplatform.maps.arcgis.com/home/item.html?id=650c07e542fa43b6a327c7f683681712,N/A,No,No,No longer supported as part of the HIFLD mission,U.S. Geological Survey ,https://www.arcgis.com/apps/mapviewer/index.html?url=https://3dhp.nationalmap.gov/arcgis/rest/services/usgs_3dhp_all/FeatureServer,https://3dhp.nationalmap.gov/arcgis/rest/services/usgs_3dhp_all/FeatureServer,Please see GII,N/A,650c07e542fa43b6a327c7f683681712
Deprecate,Geographic Names Information System (GNIS) Feature Layers,https://geoplatform.maps.arcgis.com/home/item.html?id=5091b822ad3e47f3b6bc5bc275fb3c22,N/A,No,No,No longer supported as part of the HIFLD mission,U.S. Geological Survey ,https://www.arcgis.com/apps/mapviewer/index.html?url=https://carto.nationalmap.gov/arcgis/rest/services/geonames/MapServer,https://carto.nationalmap.gov/arcgis/rest/services/geonames/MapServer/,Please see GII,N/A,5091b822ad3e47f3b6bc5bc275fb3c22
Deprecate,National Forests,https://geoplatform.maps.arcgis.com/home/item.html?id=12f298a6c5364bd682fdf60ecd564f19,N/A,No,No,No longer supported as part of the HIFLD mission,U.S. Geological Survey ,https://www.arcgis.com/apps/mapviewer/index.html?url=https://carto.nationalmap.gov/arcgis/rest/services/govunits/MapServer,https://carto.nationalmap.gov/arcgis/rest/services/govunits/MapServer/31,Please see GII,N/A,12f298a6c5364bd682fdf60ecd564f19
Deprecate,Courthouses,https://geoplatform.maps.arcgis.com/home/item.html?id=4352a24980e0476cad426912a1821a60,N/A,No,No,No longer supported as part of the HIFLD mission,U.S. Geological Survey ,https://www.arcgis.com/apps/mapviewer/index.html?url=https://carto.nationalmap.gov/arcgis/rest/services/structures/MapServer,https://carto.nationalmap.gov/arcgis/rest/services/structures/MapServer/40,Please see GII,N/A,4352a24980e0476cad426912a1821a60
